INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR
;problem_100_100_3_4_5.txt;3079;3909;0
;problem_100_100_3_5_5.txt;4011;4921;0
;problem_100_100_4_1_5.txt;852;852;0
;problem_100_100_4_2_5.txt;1743;1743;0
;problem_100_100_4_3_5.txt;2514;2514;0
;problem_100_100_4_4_5.txt;3135;3135;0
;problem_100_100_4_5_5.txt;3986;3986;0
;problem_100_500_1_1_5.txt;3749;11915;0
;problem_100_500_1_2_5.txt;7812;16700;0
;problem_100_500_1_3_5.txt;12908;20432;0
;problem_100_500_1_4_5.txt;17196;22806;0
;problem_100_500_1_5_5.txt;22848;25659;0
;problem_100_500_2_1_5.txt;3687;4427;0
;problem_100_500_2_2_5.txt;7733;8849;0
;problem_100_500_2_3_5.txt;12919;14155;1
;problem_100_500_2_4_5.txt;17130;18426;0
;problem_100_500_2_5_5.txt;22592;23438;0
;problem_100_500_3_1_5.txt;4047;4457;0
;problem_100_500_3_2_5.txt;8366;8936;0
;problem_100_500_3_3_5.txt;12434;13144;1
;problem_100_500_3_4_5.txt;15873;16693;1
;problem_100_500_3_5_5.txt;22690;23590;0
;problem_100_500_4_1_5.txt;3991;3991;0
;problem_100_500_4_2_5.txt;8343;8343;0
;problem_100_500_4_3_5.txt;12550;12550;0
;problem_100_500_4_4_5.txt;15788;15788;0
;problem_100_500_4_5_5.txt;22619;22619;0
;problem_100_1000_1_1_5.txt;7914;23884;0
;problem_100_1000_1_2_5.txt;15929;33591;0
;problem_100_1000_1_3_5.txt;24592;40347;0
;problem_100_1000_1_4_5.txt;34143;46603;0
;problem_100_1000_1_5_5.txt;46504;43499;0
;problem_100_1000_2_1_5.txt;7805;9516;0
;problem_100_1000_2_2_5.txt;15882;18106;0
;problem_100_1000_2_3_5.txt;24877;27832;0
;problem_100_1000_2_4_5.txt;33931;36715;0
;problem_100_1000_2_5_5.txt;46255;47157;0
;problem_100_1000_3_1_5.txt;8613;9023;0
;problem_100_1000_3_2_5.txt;17375;17915;0
;problem_100_1000_3_3_5.txt;25211;25911;0
;problem_100_1000_3_4_5.txt;31040;31850;0
;problem_100_1000_3_5_5.txt;39939;40849;1
;problem_100_1000_4_1_5.txt;8606;8606;0
;problem_100_1000_4_2_5.txt;17510;17510;0
;problem_100_1000_4_3_5.txt;24814;24814;0
;problem_100_1000_4_4_5.txt;31076;31076;0
